avg_pick,name,player_id,pos,team,adp_rank,pts,points_rank,rank_diff,proj_pts,proj_pts_rank,proj_rank_diff,points_rank_diff
124.9,DeSean Jackson,11283,WR,TB,137,151.3,94.0,43.0,138.1,134.0,3.0,40.0
125.0,Ted Ginn Jr.,10453,WR,NO,138,52.5,186.0,-48.0,119.1,164.0,-26.0,-22.0
125.5,Benjamin Watson,5557,TE,NO,139,87.0,160.0,-21.0,121.4,159.0,-20.0,-1.0
125.7,Tyler Lockett,17619,WR,Sea,140,222.4,47.0,93.0,154.8,110.0,30.0,63.0
125.9,Tyler Eifert,15788,TE,Cin,141,38.9,192.0,-51.0,117.0,168.0,-27.0,-24.0
126.0,LeGarrette Blount,13213,RB,Det,142,86.5,161.0,-19.0,82.2,191.0,-49.0,30.0
126.6,Mohamed Sanu,14922,WR,Atl,143,182.4,72.0,71.0,172.1,90.0,53.0,18.0
126.7,David Njoku,18303,TE,Cle,144,143.9,101.0,43.0,128.1,147.0,-3.0,46.0
127.3,Paul Richardson,16781,WR,Wsh,145,59.1,184.0,-39.0,147.1,118.0,27.0,-66.0
127.5,Antonio Gates,5362,TE,LAC,146,75.3,172.0,-26.0,121.0,160.0,-14.0,-12.0
128.2,Texans D/ST,60034,D/ST,Texans D/ST,147,133.0,114.0,33.0,106.5,178.0,-31.0,64.0
128.2,Chris Boswell,17175,K,Pit,148,86.1,163.0,-15.0,147.8,116.0,32.0,-47.0
128.6,Latavius Murray,15920,RB,Min,149,131.9,117.0,32.0,106.2,179.0,-30.0,62.0
129.1,DeVante Parker,17593,WR,Mia,150,60.9,181.0,-31.0,149.7,114.0,36.0,-67.0
129.3,Kenny Golladay,18345,WR,Det,151,207.1,54.0,97.0,158.4,108.0,43.0,54.0
129.6,T.J. Yeldon,17678,RB,Jax,152,173.1,77.0,75.0,96.6,185.0,-33.0,108.0
129.7,Danny Amendola,11674,WR,Mia,153,127.4,122.0,31.0,138.1,134.0,19.0,12.0
130.6,Mason Crosby,10636,K,GB,154,138.0,110.0,44.0,123.1,156.0,-2.0,46.0
130.8,Matt Bryant,4333,K,Atl,155,107.0,146.0,9.0,140.3,129.0,26.0,-17.0
131.0,Jared Cook,12537,TE,Oak,156,193.6,63.0,93.0,123.8,153.0,3.0,90.0
131.2,Bears D/ST,60003,D/ST,Bears D/ST,157,188.0,65.0,92.0,95.6,186.0,-29.0,121.0
131.5,Ty Montgomery,17611,RB,Bal,158,71.3,173.0,-15.0,136.2,138.0,20.0,-35.0
131.8,John Ross,18395,WR,Cin,159,84.9,165.0,-6.0,147.0,119.0,40.0,-46.0
133.3,Aaron Jones,18314,RB,GB,160,171.4,79.0,81.0,91.3,189.0,-29.0,110.0
133.3,Michael Gallup,18640,WR,Dal,161,97.7,154.0,7.0,111.5,172.0,-11.0,18.0
133.8,Matt Breida,18424,RB,SF,162,162.5,84.0,78.0,149.0,115.0,47.0,31.0
134.1,Charles Clay,14145,TE,Buf,163,37.4,193.0,-30.0,135.3,140.0,23.0,-53.0
136.2,Chris Godwin,18272,WR,TB,164,185.2,68.0,96.0,136.9,136.0,28.0,68.0
136.3,DJ Moore,18582,WR,Car,165,157.0,86.0,79.0,124.7,150.0,15.0,64.0
136.7,Broncos D/ST,60007,D/ST,Broncos D/ST,166,108.0,145.0,21.0,101.8,182.0,-16.0,37.0
136.8,Calvin Ridley,18584,WR,Atl,167,206.8,55.0,112.0,123.2,154.0,13.0,99.0
136.8,Panthers D/ST,60029,D/ST,Panthers D/ST,168,76.0,171.0,-3.0,96.7,184.0,-16.0,13.0
137.4,Bilal Powell,14129,RB,NYJ,169,60.3,183.0,-14.0,146.0,121.0,48.0,-62.0
137.7,Anthony Miller,18610,WR,Chi,170,120.2,131.0,39.0,138.3,132.0,38.0,1.0
138.4,John Brown,16804,WR,Bal,171,143.9,101.0,70.0,118.8,165.0,6.0,64.0
139.0,Rishard Matthews,15102,WR,NYJ,172,7.4,198.0,-26.0,144.2,124.0,48.0,-74.0
139.0,Marlon Mack,18211,RB,Ind,173,178.1,75.0,98.0,136.6,137.0,36.0,62.0
139.0,Cardinals D/ST,60022,D/ST,Cardinals D/ST,174,85.0,164.0,10.0,103.5,180.0,-6.0,16.0
139.1,Ronald Jones,18597,RB,TB,175,20.7,195.0,-20.0,123.8,153.0,22.0,-42.0
139.2,Mike Williams,18235,WR,LAC,176,180.2,73.0,103.0,118.4,166.0,10.0,93.0
139.5,Theo Riddick,15994,RB,Det,177,116.5,134.0,43.0,133.9,143.0,34.0,9.0
139.5,Giovani Bernard,15826,RB,Cin,178,95.9,155.0,23.0,124.3,151.0,27.0,-4.0
139.5,Chargers D/ST,60024,D/ST,Chargers D/ST,179,105.0,149.0,30.0,103.2,181.0,-2.0,32.0
140.0,Adam Vinatieri,1097,K,Ind,180,122.0,129.0,51.0,127.1,148.0,32.0,19.0
140.1,James Washington,18619,WR,Pit,181,43.7,189.0,-8.0,117.3,167.0,14.0,-22.0
142.3,Cameron Meredith,17750,WR,NO,182,24.4,194.0,-12.0,120.6,162.0,20.0,-32.0
142.3,Mike Wallace,12601,WR,Phi,183,0.0,200.0,-17.0,121.8,158.0,25.0,-42.0
143.3,Wil Lutz,18104,K,NO,184,149.0,97.0,87.0,131.0,146.0,38.0,49.0
144.7,Saints D/ST,60018,D/ST,Saints D/ST,185,98.0,153.0,32.0,84.9,190.0,-5.0,37.0
145.1,Titans D/ST,60010,D/ST,Titans D/ST,186,108.0,145.0,41.0,107.3,176.0,10.0,31.0
145.3,Robbie Gould,9354,K,SF,187,138.0,110.0,77.0,135.6,139.0,48.0,29.0
146.4,Graham Gano,12460,K,Car,188,80.0,168.0,20.0,131.7,145.0,43.0,-23.0
146.9,Matt Prater,11122,K,Det,189,125.3,125.0,64.0,139.4,130.0,59.0,5.0
147.1,Jake Elliott,18178,K,Phi,190,117.0,133.0,57.0,133.0,144.0,46.0,11.0
147.8,Ryan Succop,12731,K,Ten,191,113.0,139.0,52.0,125.8,149.0,42.0,10.0
151.3,Harrison Butker,18409,K,KC,192,144.0,99.0,93.0,135.0,142.0,50.0,43.0
170.0,Jaylen Samuels,18724,RB,Pit,193,89.5,157.0,36.0,40.3,197.0,-4.0,40.0
170.0,Austin Hooper,17861,TE,Atl,194,163.0,83.0,111.0,119.3,163.0,31.0,80.0
170.0,Spencer Ware,16020,RB,KC,195,79.0,170.0,25.0,45.4,196.0,-1.0,26.0
170.0,Phillip Lindsay,18823,RB,Den,196,222.8,46.0,150.0,73.5,192.0,4.0,146.0
170.0,Ka'imi Fairbairn,18454,K,Hou,197,165.0,82.0,115.0,113.0,171.0,26.0,89.0
170.0,Nick Chubb,18592,RB,Cle,198,194.5,60.0,138.0,57.7,194.0,4.0,134.0
170.0,Damien Williams,17138,RB,KC,199,98.6,151.0,48.0,36.9,198.0,1.0,47.0
170.0,C.J. Anderson,16040,RB,LAR,200,67.4,177.0,23.0,101.1,183.0,17.0,6.0
